gate,sum_gc,sum_depth,carry_gc,carry_depth
+--+-+0+-,21,5,12,5
0-00+---0,19,5,17,5
+0+0-++00,16,5,10,4
+0++---+0,7,4,18,5
0--+-000-,17,5,6,4
+-+--+-+0,13,5,16,5
+00++00+-,15,5,8,4
+--++--+0,21,5,16,5
0++0+0+-0,16,5,15,5
++00-+0+0,17,5,20,5
00--+0-0-,19,5,10,4
+000+-++0,17,5,7,4
0+++-00+0,20,5,17,5
0+0-+-+0-,19,5,21,5
0---+00-0,13,5,19,5
+-00--00-,13,5,8,4
+0-0--0-0,17,5,7,4
+-0-+-++-,12,5,15,5
+0---0-00,11,5,14,5
0-+++-+--,21,5,23,5
0+-+-++--,16,5,15,5
+0-0-00--,14,5,4,3
+0+++00--,19,5,16,5
+-+++--00,19,5,17,5
++-+-+-00,19,5,21,5
00+0+0+--,16,5,21,5
+-+-++00-,13,5,13,5
++--++0-0,12,5,17,5
+00--+0+0,15,5,17,5
0--++0-0-,16,5,16,5
+0+0--++0,21,5,14,5
0-0-++00-,19,5,17,5
00++--0+0,5,4,19,5
+-0-+0+0-,15,5,19,5
00--++0-0,10,4,14,5
0+0--++00,10,4,14,5
0-0++--00,5,4,18,5
00+-+-+00,19,5,19,5
+-0+-00+-,4,3,18,5
00-+-+-00,19,5,19,5
++--+0+-0,16,5,11,4
0-0-++++-,11,5,16,6
+0+0----0,10,4,17,5
00++---+-,19,5,17,5
0+---++00,16,5,16,5
+00--+-+-,14,5,14,5
0++--0-0-,17,5,12,4
++-0-0-00,12,5,10,5
00+-+-+--,15,5,22,5
0+0--++--,17,5,23,5
0++++0-+-,21,5,17,5
++0--0+0-,18,5,18,5
+----+0-0,13,5,17,6
+000+0--0,16,5,8,4
+-+++-+00,17,5,18,5
++-+-++00,6,3,15,5
00+0+00--,21,5,15,5
++00++-+-,23,5,13,5
+00--00+0,18,5,21,5
0--++--0-,18,5,8,4
0-00++00-,16,5,15,5
+-00+0+0-,15,5,6,4
00-0++0-0,19,5,8,4
0+0--0+00,20,5,8,4
0+0-++++-,21,5,16,6
+-+0----0,17,5,20,5
+00+-+++-,16,5,13,5
0++0-000-,15,5,8,4
++00-0-00,13,5,13,5
00--+-+--,6,3,16,5
+-+--00--,18,5,15,5
++00++0--,12,5,18,5
+0+0++0--,19,5,19,5
